epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1905.02,1.10057,0.56733,1.03734,0.95778,0.62817,0.658,0.45549,1.13407,0.50137,1.07122,0.000848969,0.000848969,0.000848969
43,1950.63,1.09019,0.55811,1.03541,0.96112,0.62536,0.6574,0.45812,1.13131,0.49744,1.06605,0.000834822,0.000834822,0.000834822
44,1996.17,1.1018,0.56331,1.03387,0.96316,0.62301,0.65999,0.45956,1.12807,0.49964,1.06734,0.000820675,0.000820675,0.000820675
45,2041.63,1.09542,0.55308,1.0356,0.96085,0.62814,0.65901,0.45817,1.13476,0.49556,1.06691,0.000806528,0.000806528,0.000806528
46,2087.6,1.0904,0.55279,1.03035,0.96383,0.6237,0.66039,0.46067,1.12691,0.49113,1.06302,0.00079238,0.00079238,0.00079238
47,2133.11,1.08987,0.55328,1.03225,0.60629,0.67605,0.6606,0.46126,1.12666,0.49387,1.063,0.000778233,0.000778233,0.000778233
48,2178.59,1.08541,0.55501,1.02527,0.61277,0.65907,0.66026,0.46072,1.12721,0.49244,1.06555,0.000764086,0.000764086,0.000764086
49,2224.06,1.07727,0.54436,1.02682,0.96552,0.62376,0.65804,0.46104,1.12656,0.48951,1.06565,0.000749939,0.000749939,0.000749939
50,2269.14,1.07751,0.54441,1.02415,0.96038,0.62458,0.65805,0.4602,1.13048,0.49195,1.06507,0.000735792,0.000735792,0.000735792
51,2314.38,1.07425,0.54283,1.02299,0.62997,0.62545,0.65729,0.4622,1.12296,0.48615,1.06287,0.000721645,0.000721645,0.000721645
52,2359.68,1.07172,0.53679,1.02455,0.96276,0.6288,0.65897,0.46075,1.12319,0.4843,1.06358,0.000707498,0.000707498,0.000707498
53,2404.92,1.0673,0.53307,1.01695,0.96617,0.62537,0.6575,0.46062,1.12887,0.4876,1.06313,0.000693351,0.000693351,0.000693351
54,2449.91,1.06823,0.53416,1.0192,0.63806,0.63823,0.65854,0.46267,1.12389,0.48326,1.0614,0.000679204,0.000679204,0.000679204
55,2495.45,1.06877,0.53054,1.02152,0.63149,0.6245,0.65901,0.46184,1.12701,0.48728,1.06381,0.000665057,0.000665057,0.000665057
56,2540.75,1.06682,0.52867,1.0179,0.62766,0.62848,0.65696,0.46149,1.12509,0.48503,1.0601,0.000650909,0.000650909,0.000650909
57,2586.38,1.05891,0.52277,1.01443,0.60313,0.65646,0.6591,0.46213,1.12805,0.48406,1.06451,0.000636762,0.000636762,0.000636762
58,2631.95,1.05262,0.5229,1.01181,0.63617,0.64631,0.65962,0.46148,1.12796,0.48615,1.06328,0.000622615,0.000622615,0.000622615
59,2677.3,1.06341,0.52221,1.01637,0.63391,0.62532,0.65886,0.46248,1.12638,0.47826,1.06087,0.000608468,0.000608468,0.000608468
